review/summary,num_letters
great product need profession instal unless veri savi,46
good product,11
safer drive easier communic,24
aid hand free phone usag,20
simpl great valu,14
nokia data cabl,13
absolut must nokia user,20
useless,7
return,6
ok,2
exact want,9
great car charger superb price,26
review,6
work fine pictur,14
look good,8
motorola razr charger,19
good stuff,9
best price,9
doe say,6
love,4
good valu,8
motorola phone car charger,23
low qualiti,10
car charger best,14
motorola charger,15
ship weight pound,15
razr charger,11
complaint bargain,16
car charger motorola razor,23
great deal,9
motorola razr v auto charger,24
veri good,8
great buy,8
motorola razr v etc oem origin auto car charger,39
cood custom servic,16
razar charger,12
good product,11
doe job,6
plea purchas,11
work like charm,13
advertis oem,11
motorola car charger oem,21
car charger,10
excel item awesom price,20
work fine,8
definit fake,11
car charger motorola v phone,24
great charger price,17
work great,9
orgin work,9
nice charger,11
great littl car charger,20
good item good servic,18
good advertis,12
work design,10
razr oem car charger,17
typic motorola qualiti,20
quick deliveri,13
realli oem,9
razer charger,12
batteri car charger,17
counterfit item work ok,20
cheap price good product,21
wonder product,13
wow charg phone car,16
get,3
veri good,8
work,4
excel product,12
producto original,16
recharg anyth,12
inexpens work,12
exact famili need,15
worri,5
countri boy tech,14
awesom work great brand new thank,28
work motorola,12
good valu,8
car adapt motorola razr ok,22
item better expect,16
excit,5
receiv quick work describ,22
excel buy,8
say,3
great valu money,14
charg,5
slick unit,9
disappoint,10
great product,12
well made product fair price,24
motorola razr v charger,20
good,4
doa,3
car phone charger,15
satisfi,7
motorola razr v v v c slvr l l l pebl u v mpx v v v ch oem origin auto car charger syn,63
motorola razr v v v c slvr l l l pebl u v mpx v v v ch oem origin auto car charger syn,63
work fine,8
work perfect,11
get job done,10
phone great,10
good sound qualiti earbud bit larg,29
sound decent bud big,17
good replac part,14
great product,12
good,4
fit palm treo like glove,20
great price,10
protect treo,11
inexpens cheap,13
good fit good grip,15
expect,6
worth,5
great product,12
doe actual snap,13
cell phone case,13
palm treo silicon case black,24
doe close proper,14
silicon cover palm,16
hide scratch protect well,22
great case,9
ok great,7
silicon case palm treo p,20
phone cover,10
veri good skin,12
good grip,8
good,4
motorola h bluetooth headset orang,30
good buy,7
good deal decent earpiec price minor issu,35
worth money,10
expect,6
tell bluetooth turn,17
great,5
bluetooth,9
burnt orang bluetooth,19
poor design,10
good valu lesser price,19
aarrrgh cool,11
good product,11
good last,8
decent headset comfort fit tinni sound,33
small mayb small,14
netlink ax bluetooth headset,25
best price,9
best littl devic town,18
high recommend,13
high recommand peopl wear glass star,31
best headset last,15
great size averag sound,20
wear daili,9
excel headset babi batteri,23
worth pay,8
cool headset,11
signal veri good,14
ax bluetooth headset,18
inexpens outperform,18
better bluetooth,15
good product price pay,19
thought would like,16
light work,9
bluespoon ehh work guess,21
love headset,11
love much bought two,17
great earpiec still issu,21
great littl headset,17
pretti good money,15
good idea poor execut,18
ax bluetooth headset,18
fair deal,8
buy base review,13
great littl headset,17
echo,4
veri good product durabl,21
excel headset,12
unnotic light weight,18
excel,5
one smallest lightest avail,24
quick tip,8
averag headset,13
care cheap doe work,16
would given zero,14
sorri give star becaus sweet,24
good product money,16
ok,2
nextlink ax blue spoon bluetooth headset,35
nextlink ax blue spoon bluetooth headset,35
great headset,12
get pay,6
good size qualiti cost,19
stay away u sre use mobil mda mobil sda,31
great devic,10
wast money,9
good true almost,14
great headset,12
still look ideal headset,21
great tini headset,16
great awhil,10
durabl move anoth headset,22
nice headset hurt ear,18
awsom,5
complaint,9
batteri die month replac headset,28
good voic qualiti veri fragil,25
great case,9
good case bad clip,15
armor,5
great look fit function,20
good protect,11
necessari use protect palm tx,25
advertis,8
unhappi,7
great palm armor,14
safe palm,8
way exceed expect,15
better palm case mile,18
sturdi protect case,17
accept case,10
excel product,12
work great,9
happi product,12
detail lack best seen far,21
run run far away,13
palm tx armor case okay,19
great protect armor case better origin case,37
went snowblow,12
design flaw,10
great case slot medium card,23
difficult open,13
solid protect,12
palm tx case,10
case close,9
worth,5
broke palm tx,11
joke,4
bulki heavi,10
excel case palmtx,15
like,4
valuabl littl protect case,23
wonder case,10
great price,10
palm case,8
accept,6
great protect,12
recommend,9
function protect,15
awesom htp det,12
good palm tx,10
realli armor case,15
surviv china,11
nice,4
great protect,12
lose belt clip,12
decent case,10
worth,5
doe fit,6
perfect,7
could better,11
nice mount,9
broken,6
excel product great deal,21
naztech cabrio case,17
bluetooth earphon bh,18
effect compact comfort,20
great headset poor fit,19
compat mani nokia phone,20
charger doe job,13
work great good price,18
pt charger,9
plantron oem order,16
plantron bluetooth charger,24
care headset,11
mayb better,10
work suppos,10
poor connect,11
fine,4
great replac adapt,16
good batteri life dear,19
perfect match,12
veri good product,15
plantron charger,15
horribl ship habit,16
work great hold phone cool look charger,33
work great,9
naztech cabrio case,17
piec crap,8
fit phone type specifi,19
hand free quot headset quot realli quot earset quot,43
headset,7
decent problem,13
microphon headset,16
doe fit iphon,11
disappoint,10
nextel user,10
great charger,12
work fine,8
bigger better batteri,19
lg vx cellular phone batteri,24
lg oem vx extend lithium ion cellular phone batteri,43
flawless,8
extend life cell phone batteri,26
batteri realli last,17
good replac,10
great price,10
excel choic,10
good price,9
glad,4
great batteri fantast price,24
work great,9
batteri review,13
motorola e extend life mah batteri cover,34
replac batteri,13
extend life batteri,17
motorola e lithium ion batteri w cover,32
grab coupl mine dud,16
moto e extend batteri,18
bought long time ago,17
quit good real moto batteri,23
great deal,9
work great,9
much better mah batteri,20
great price,10
perfect upgrad,13
bad batteri,10
motorola batteri batteri cover,27
motorola lithium batteri,22
good batteri,11
well worth money,14
great stamen bulki,16
work great,9
great way put get new phone,22
batteri charg,12
great batteri,12
satisfi,7
power batteri,12
better,6
good batteri,11
lithium batteri,14
cell batteri,11
replac lithium ion batteri kyocera slider remix sonic kx,48
veri high qualiti,15
work great,9
veri good,8
small phone big featur big perform,29
cool phone cool price,18
great phone pretti basic,21
veri good cell phone,17
great design great qualiti great price,33
decent entri level non flip phone,28
veri plea,8
static recept speaker interfer,27
tini phone tini hand e men need appli,30
great first phone,15
basic necess plus bit,18
excel cell phone,14
basic phone loud,14
get free unlock motorola razr v instead,33
batteri screen suck,17
decent,6
cingular decept,14
good deal,8
veri good phone cheap work fine,26
great phone unless outsid car,25
fair durabl phone,15
welcom return simplic nokia,24
wonder pay take read,17
georg b,6
durabl reliabl,13
durabl basic phone like squint,26
terribl phone lie,15
wast time contract renew,21
excel basic level phone,20
work,4
home wall charger,15
phone charger,12
blackberri version,17
quit work day,11
excel batteri,12
replac batteri work origin,23
last long,8
happi,5
perfect u need piec starter kit soni ericsson,38
great product,12
kangaroo univers case,19
slow ship,8
love otter box,12
stay away,8
horribl horribl phone,19
signal,6
bad,3
buy phone,8
diver review planet,17
awesom phone,11
got,3
preeti good,10
sure break point,14
small eleg issu,13
doe break,8
one person pro might anoth con,25
cell phone cell phone,18
first cellphon rock,17
lg c free still ripoff,18
bewar phone bad antenna,20
reali reali bad phone,18
mani bug,7
hate phone,9
bewar,5
lg c lg c,6
worst ever,9
horribl phone,12
buy warn worst phone ever,21
pretti neat,10
phone great except,16
crappi crappi phone,17
dont know,8
worst phone ever,14
great phone,10
worthless,9
worth,5
buy phone,8
buy,3
bad,3
veri disappoint,14
awesom phone,11
small sleek phone mani featur,25
god aw phone,10
great phone,10
pretti decent littl phone,22
phone suck drop call left right,26
averag terribl,13
buy phone,8
best cell phone ever,17
problem,7
great phone asid,14
horribl recept,13
cingular problem,15
law phone,8
phone sort,9
veri good phone,13
crap,4
cingular decept,14
man im sad,8
great littl phone,15
soni ericsson k triband,20
excel product perform exact advertis,32
bad disappear,12
well worth,9
great phone great price,20
veri good phone veri good servic,27
great phone great rington,22
even better thought,17
horribl,7
lg l bad recept,12
got today bear,12
frozen time,10
hear thing,9
static citi,10
static citi,10
pretti good,10
agre review doe last long,21
good case last,12
busi suit sidekick,16
cell phone case,13
motorola slvr l unlock intern,25
chine phone,10
great phone great price,20
wast money,9
phone good servic becaus phone aw,28
fine,4
thing befor buy phone,18
excel buy money,13
ok,2
chine phone,10
super lock phone,14
slvr l,5
great phone except recept,22
heavi,5
great phone like,14
stylish practic,14
good,4
got,3
great idea work,13
well flashlight,14
clip case,8
worth everi penni,15
case rock,8
good look fragil,14
forget clip great case,19
great case great buy,17
ok,2
excel case,9
great clip easi assembl even chaleng lol,34
decent product,13
hard,4
happi,5
wast money,9
transpar case,12
happi,5
look nice best qualiti,19
break dont buy,12
bad qualiti,10
threw away,9
durabl alway practic,18
great,5
verizion pearl,13
great product,12
great product veri happi,21
larg spike wheel,14
boo,3
protect buck find better,21
eforc clear belt clip blkberri pearl,31
great case,9
easi simpl hassl,14
dont take often,13
one cent whi,10
valu qualiti,11
work fine,8
best cover,9
recommend phone dropper,21
one best case blackberri pearl,26
look fine bulki,13
poor design case,14
doe realli look like case,21
good product,11
blackberri pearl case,19
case,4
review,6
best case,8
almost perfect minor setback,25
disappoint,10
product fine onc final receiv,25
good decis,9
terribl servic,13
life saver,9
excel,5
thought new,10
batteri neither new origin blackberri product plus doe hold charg,56
new doe hold charg,15
cell phone batteri,16
batteri blackberri,17
great buy,8
work great,9
great,5
new batteri behav like use one,25
replac cell batteri,17
review blackberri batteri,23
blackberri extra juic,19
better retail,12
use,3
huge help,8
excel choic,10
product defect,13
new batteri,10
buy guy,6
blackberri c x batteri,19
fast servic,10
exact need,9
want,4
great product,12
blackberri oem batteri,20
quit new,7
batteri life,11
stock batteri work expect,22
use batteri,10
oem product,10
get use pay,9
batteri new,10
garbag,6
batteri,7
doe appear genuin oem blackberri batteri,35
batteri fine ship took long time,27
blackberri batteri review,23
satisfi,7
work,4
worth much el,11
satisfi,7
forgot good batteri realli,23
blackberri batteri,17
oem batteri fraction oem price,26
work great,9
blackberri leather stand,22
contrarian review,16
perfect offic,12
nice,4
blackberri leather desktop stand,29
blackberri leather stand review,28
love,4
excel product money,17
blackberri stand,15
great product,12
great littl desktop stand,22
multi use,8
great price,10
leather stand,12
custom review,12
perform expect,13
motorola v v v replac batteri,24
replac lithium ion batteri motorola v v v,34
good batteri fast ship,19
batteri work perfect v,19
batteri fit phone proper would charg,31
veri easi use product,18
mustek h headset,14
bad,3
lg c batteri,10
cell phone batteri,16
get taken store,13
never receiv item,15
yep batteri,10
replac batteri,13
good valu,8
cell phone batteri,16
perfect replac,13
realli like phone,15
work fine,8
great purchas great save,21
brighthand review palm treo p desktop cradl ac wall adapt black,53
fine product,11
okay except scratch treo,21
well made easi use,15
ok poor qualiti,13
nice design real leather,21
veri nice,8
final holster fit,15
durabl case scratch treo,21
palm horizont leather pounch,25
treo phone holster,16
alright good price,16
mine onli veri poor craftsmanship,29
great case,9
excel product excel price,22
good product money wise safe,24
best option around,16
basic case,9
treo pouch work well,17
someth get better age doe,21
treo carrier,11
great case great price,19
treo pouch,9
solid pouch treo wx,16
veri good product,15
nice holster,11
expect,6
sostien bien pero raya el telefono,29
low price good product,19
keep charg long time,17
renew,5
replac batteri hold juic,21
work like,8
great product,12
exceed expect,12
novelti anyth el,14
look wire,8
poor perform,11
veri poor batteri life,19
pretti much hate product,21
lifetim unreplac batteri beyond yr warranti,38
okay car great anywher el,21
well okay,8
great devic problem,17
much better altern,16
excel bluetooth earpiec,21
great headset easi pair nokia,25
work great review indic,20
form function well execut,22
almost excel,11
love,4
take lickin,10
great headset smaller head ear,26
far best tri,10
good bluetooth handsfre kit problem,31
possibl best one prob motorola v,27
good,4
buy someth el poor qualiti,22
far better thought,16
thing,5
poor recept poor rang,18
good starter,11
pair nokia,9
bad,3
doe say well part,14
reliabl connect devic improv bt,27
like jabra freespeak bt veri much,28
quit like mine,12
jabra freespeak headset,21
comfort effect workhors,21
day communic big obvious ear,24
way better expect,15
beam almost,10
great product univers fit,22
comfort veri statici,18
lifetim unreplac batteri beyond yr warranti,38
check befor buy,13
love alot differ use,17
nice batteri bad perform,21
disappoint devic,15
comfort,7
piti live longer,14
onli way communic bt phone,22
veri reliabl drawback,19
perfect fit,10
bad,3
sturdi durabl,12
great headset,12
freespeak great,14
overal good read care,18
guess must minor,14
far big fan,9
doe fit secur,11
doe work v,8
great addit bluetooth phone,24
lot static white nois,18
general happi,12
suck fest,8
kid,3
good expect,10
comfort,7
great headset,12
jabra bt,7
one star good junk,15
comfort unus outdoor,18
readi prime time,14
poor qualiti product,18
horribl rang highest price,23
best bt headset ever,17
readi prime time,14
real handsfre,12
neat concept imperfect implement,29
slick new toy,11
final bluetooth headset work,25
pretti good product,17
poor belt clip design,18
great headset,12
care,4
cell batteri,11
pointless,9
cell phone batteri,16
handi product keep ipad clean,25
box wave mini stylus,17
box wave mini,11
good go stylus terrif tip recommend use extend period,45
compact compact,14
use,3
boxwav mini capacit stylus metal silver,34
good qualiti stylus,17
well made,8
limit valu,9
boxwav mini stylus,16
interest product,15
boxwav appl ipad mini capacit stylus metal silver,42
real thing,9
bad need non slip rubber foot ad weight,32
would given cord littl longer,25
use,3
great charger extra featur,23
retract charger,14
terribl dissapoint,17
new s,4
excel,5
excel batteri,12
good servic,10
batteri,7
excel cheap,10
one best low price headset avail,27
great valu bluetooth,18
good product,11
valu money,9
lot bang buck,11
nice bluetooth,13
never got,8
best worst,9
outstand headset,15
good product price,16
bad batteri,10
cabl tungsten e well,17
veri handi use home work,20
buy last,7
veri fragil,10
work expect good bang buck,22
function conveni,15
pretti good,10
love cabl,8
good price,9
got charger excel condit,21
use,3
recommend item,13
nice product,11
great seller product littl le desir,30
work,4
fast idk,7
waht need,8
nokia decent phone poor batteri life,31
excel entri level phone,20
improv,6
ok flaw,6
horribl phone,12
defect phone att count,19
nice design poor batteri life proprietari connect,43
decent phone mp player add worth,27
mark nokia entranc world flip phone,30
decent phone batteri terribl,25
garbag,6
batteri life unbeat bad,20
cancel cingular,14
phone suppos releas sunday,23
aug nokia begin ship,17
good idea great execut,19
crapiest phone ever,17
pro plenti con,12
impress,7
ugli doe work,11
worst phone ever,14
veri good phone,13
nokia good solid phone,19
wonder rd one right,16
love,4
good phone,9
disappoint phone w short batteri life,32
readi pay upto xtra hidden fee,25
nokia veri bad featur,18
lg vx chocol phone,15
verizon great chocol great amazon great,34
amaz phone minor annoy,19
batteri life phone,16
prepar buy extra,14
phone ear bud jack,15
nice littl phone,14
worth troubl,11
great phone text messag,20
good buy,7
ok know get,9
great buy,8
got love,7
fit,3
order,5
worst case ever,13
excel gualiti,12
doe support treo p unless use adapt purchas stereo adapt plug,51
excel headphon,13
like,4
pulsar headset,13
bluetooth headset,16
nice headphon small problem,24
good item,8
solid blue tooth stereo perform,27
excel bluetooth headphon,22
perfect realli good,17
veri dissappoint,15
devic limit use tech support horribl,31
great valu money,14
toy miss mark,11
fine product,11
minor modif go work great,21
terrif product great sound support work perfect ipod blackberri phone time,64
veri happi,9
best class,9
audio lag otherwis good headphon,28
limit wonder product,18
plantron pulsar bluetooth stereo headset,36
critic harsh decid,16
hassl aka,8
wire littl practic,16
actual star almost perfect product,30
found miss review,15
perfect headset,14
bewar,5
nice product bought daughter one,28
bluetooth headset,16
poor qualiti,11
mix feel,7
plantron pulsar good product,25
pleasant surpris,15
work great,9
love headphon,12
cool perfect,11
bought nd one biz partner,21
great choic sprint instinct,24
work intel macbook pro osx x,23
easi good good fidel great exercis,29
good sound bad construct design materi,33
veri good sound easi connect,24
awesom product,13
one question,11
great use,8
fabul devic unmatch ani,20
bluetooth,9
plantron pulsar bluetooth headset,30
break easi bewar,14
problem charg serious design flaw,29
bluetooth wireless headset,24
good perform easi pair flimsi construct,34
plantron pulsar bluetooth headset,30
excel product,12
mac friend use bluetooth featur,27
well worth money,14
excel sound easi pair,18
use headset game pc,16
almost star bare,14
plantron build come,17
go wrong unless like style color,27
fantast flexibl headphon headset,29
cool product poor qualiti,22
nice item,8
excel headphon also work hear aid,28
lovin,5
buy product,10
great ventrilo,13
good headphon,12
new user major complaint nice headset,32
batteri life,11
even think use voip,16
fragil garbag bewar,17
univers adapt univers,19
lucious doe work skype,19
one thing know,12
doubl function relax work,22
brilliant updat,14
headphon rock,12
almost slick advertis,19
work well lg cu,12
warn compat,10
great sound poor design buy,23
great front far,13
plantron need concern custom,25
wire cd,6
great seller,11
good wireless headset,19
blue light annoy,14
great final whole packag,21
love,4
good great,9
fun toy,6
unexpect great product,20
work advertis,12
good hope,8
audio lag made unus,16
plantron headset,15
excel first impress,17
serious design flaw,17
serious design flaw product break,29
fantast product veri use analog adapt,32
exact suppos,11
great bluetooh headphon,21
great product,12
must store warehous year,21
junk,4
good qualiti,11
worth,5
motorola h ear piec,16
awesom prouduct,14
great bluetooth perfect color pink,30
good bang buck,12
cheap bluetooth well worth,23
suck,4
motorola bluetooth headset h,25
bluetooth,9
compat return refund,18
doe fit lg phone,13
appear,6
horribl,7
product damag respons phone email amazon take care,43
quick servic afford,17
great valu nice fast deliveri,25
jay,3
excel,5
great product,12
disappoint,10
pretti good,10
bb holster,9
blackberri lambskin swivel case,28
veri nice,8
veri good holster,15
great,5
great oem product,15
lambskin blackberri pearl review,29
surpris th qualiti price,21
excel overal belt holster case,26
durabl,6
look,4
good buy,7
mine shini desir featur,20
good product ship problem,22
excel choic price,15
case save batteri,15
perfect replac,13
smooth transact,14
nice case cheap belt clip,21
great valu,9
look great work great long last,26
blackberri lambskin leather swivel holster pearl,43
great product,12
easili broken,12
oem swivel case blackberri pearl,28
excel case pearl,14
take advantag bb auto featur,24
good qualiti great price,21
valu money,9
want,4
nice holder break easi,19
solid product great price,22
buy,3
broke le month wast time,20
great case,9
perfect,7
verri good,9
nice factori holster,18
stylish,7
great case,9
wow realli pretti nice,19
best pearl holder well worth le paid,30
blackberri holster pearl,22
great cell phone holster generic enouch small cell phone,48
great holster pearl,17
case annoy,9
bb holster,9
veri plea,8
blackberri swivel holster,23
work look great,13
great case,9
terrif case,10
veri nice case,12
great product,12
star becaus cost,14
mini usb v micro usb,16
dont buy cheap one,15
wrong item,9
kyocera travel charger,20
must buy,7
hottest phone ever,16
work,4
great product,12
exact describ low price qualiti product,34
great fit sturdi headset product great price,38
great headset,12
complaint,9
connect world,12
lg earbud,8
experi,6
kangaroo univers accessori,24
great product great price fast deliveri,34
perfect replac,13
veri use,7
new phone,8
work isync,9
almost enough,12
nw hd replac batteri,17
work awesom,10
get case,7
disappoint challeng access trackwheel,34
bad,3
compat v phone,12
clip v phone,10
compat,6
excel compani,12
four year old phone brand new batteri earli adopt,41
sch,3
quick easi,9
new batteri,10
work well hold charg,17
great shipment,13
work well,8
unconvent use,12
extra capac batteri work magellen explorist le handheld gps,51
function spare batteri magellan explorist gps,40
horribl qualiti,14
keep break,9
buyer bewar,10
batteri fresh,12
super,5
onli work mobil,13
great camera love,15
like,4
whi bother,9
color pictur,11
could great onli,14
ok qualiti cost,13
work great,9
work nokia,9
hear,4
great nokia wire headset,21
hear doe stay ear,14
nokia cord earphon,16
good product,11
hear,4
nokia boom headset,16
handi headset,12
work,4
sleek design allow multitask best thing next wireless,46
work onli nokia sometim never brand,30
describ,7
work,4
contrari descript doe work nokia,28
handi gadget wireless,19
boom headset hdb doe work nokia,26
intermitt connect caus static,26
earpiec broke month,17
got paid,7
well built genuin nokia charger,27
good qualiti,11
good,4
good bud,7
dont wast time,12
earbud,6
garbag,6
phone head set,12
nokia,5
doe work nokia,12
real nokia,9
hand free headset work fine,23
cheap work veri well,17
nokia handsfre headset earbud receiv end button nokia phone,51
far good,7
love price great,14
buy,3
great,5
nokia face plate,14
batteri doe keep go go,18
buy recycl,9
phone stay charg stand,19
work perfect,11
seller batteri,13
nokia bluetooth headset poor loop sound,34
work well litt bulki uncomfort,26
cool featur uncomfort,19
great cell phone holder,20
doe work phone call,16
ctu look pictur websit befor buy,27
great case wear pant,17
expect,6
get risk,7
dissappoint custom,17
pathet,6
batteri purchas,14
batteri life good,15
good,4
call batteri,11
good batteri,11
hard find,8
bad news,7
veri satisfactori,16
best price,9
good price good qualiti,20
nokia batteri,12
nokia bl c li n battey,17
veri disappoint product,21
great servic thing arriv prompt great condit,38
awesom,6
perfect,7
ok,2
save new phone,12
bad,3
thank,5
new batteri cell phone,19
need,4
happi product,12
great price,10
would hold charg,14
nokia batteri,12
went well,8
low standbi time,14
batteri,7
nokia batteri,12
glad found,9
cell phone batteri,16
nokia batteri,12
keep good work,12
batteri work fine,15
great item,9
great peopl work,14
nokia batteri,12
perfect case,11
cute qualiti,11
great featur small form factor,26
one packag,9
excel phone,10
good surpris,11
best phone ever,13
best smartphon,13
plea buy phone,12
awesom look phone qualiti appear great shini like bronz gold,51
exel phone,9
phone,5
best pd case ever,14
use cabl unlock debug,18
mm plug,6
headset,7
rma accessori bad busi,19
good,4
cheap materi,11
veri cheap look,13
one durabl pouch,14
leather pouch motorola razer,25
good case good price,17
poor custom servic,16
bait switch,10
worthwhil addit,14
veri small easi carri intern voltag,30
cf siemen headset,15
doe work,7
love kangaroo,12
stylish yet veri secur,19
agre previous review,18
soni charger,11
exact need,9
still use old cell phone,20
replac second charger use yet,25
soni charger work great,20
fine product,11
kid love,7
pretti good,10
technolog best,13
perfect,7
buy onli want phone onli,20
buy,3
bad phone,8
bad good,7
regret,6
buy phone,8
never get anoth motorola phone,26
limit bluetooth verizon car charg stink bad connector,46
nice look,8
warn exist verizon custom,22
still great phone servic,21
cool look phone left brand,22
amazon custom servic bad,21
half sucki half great phone report,29
pack featur price,15
best phone,9
greatest phone ever,17
look good,8
good phone short batteri life verizon realli lock,42
nice look tri call anyon,20
could give zero would,18
got two,6
fluff substanc,13
hack,4
verizon make imposs access photo taken camera,39
terribl custom servic,19
big disappoint verizon,20
good,4
hack,4
nice littl phone verizon limit,26
u cellular version great,21
best cell phone ever,17
verison kill razr alltel make easi,29
ok,2
verizon doe crippl obex otherwis nice phone,37
featur disabl,12
verizon v cellphon,16
good gonna get verizon,19
love phone disappoint w batteri life,31
razr deal,8
nice phone design milk wallet,25
moto doe deserv second look,23
verizon user interfac ruin phone,28
tough hear,9
excel hardwar design terribl softwar program,39
good phone bad medium devic,23
kill perfect look product,22
pink razor sleek effici best recept,30
never buy phone never buy amazon,27
custom servic disast,18
good phone,9
great,5
motorola razr v movi star,21
phone number portabl,18
e much better phone,16
bad chang phone,13
motorola razr disappoint,22
worth,5
like,4
wow final phone live hype,21
sorri buy phone,13
nice sleek phone,14
total failur,11
verizon whi onli silver pink,24
v good cdma slim phone get,21
vz navig worth price,17
user experi affect much choic servic provid,37
decent phone bluetooth crippl,26
style function,13
poor phone,9
phone wish,9
wonder crippl power useless cool littl piec vandal gadgetri,51
beyond crummi,12
custom,6
veri dissastifi,14
sure complaint,13
bewar phone warranti good,22
warn zero batteri buy phone,23
use cell phone,12
easi use one hand,14
good phone kink,13
motorola razr v,13
want qualiti phone buy one,22
solid phone pricey featur,22
good solid phone drop,18
lot market hype,13
warn featur intent disabl,22
greatest phone walk earth well mine least,35
decent phone,11
cool phone great potenti vz great,28
time favorit phone,16
worst phone ever,14
love phone,9
wast money phone piec crap,22
may clich eacut day still great phone,31
good phone lousi carrier,21
great phone crippl verizon,23
buyer bewar,10
love phone poor recept,19
buy without batteri upgrad,23
